"";"classe 1";"classe 2";"classe 3";"classe 4"
"european";0;0;0;0
"union";-53,74;3,133;3,935;4,092
"eu";-36,131;12,443;119,673;-90,97
"flag";-41,914;30,373;26,002;-27,61
"game";-36,131;12,443;119,673;-90,97
"paint";-76,595;0,041;26,507;2,124
"detail";-76,595;-9,56;26,507;20,799
"keyboard";-36,131;12,443;119,673;-90,97
"art";-32,155;16,6;-77,849;86,359
"artstation";-94,664;-0,484;45,677;2,133
"mouse";-36,131;12,443;119,673;-90,97
"computer";-36,131;12,443;119,673;-90,97
"lead";-36,131;12,443;119,673;-90,97
"oil";-48,619;23,566;88,936;-73,079
"ussr";-18,505;-28,397;233,667;-46,59
"trend";-0,208;4,774;88,936;-122,41
"sit";-36,131;12,443;119,673;-90,97
"influencer";-36,131;12,443;119,673;-90,97
"gloom";-36,131;12,443;119,673;-90,97
"extremely";-36,131;12,443;119,673;-90,97
"dark";-36,131;12,443;119,673;-90,97
"chair";-36,131;12,443;119,673;-90,97
"play";-34,953;9,531;123,709;-88,002
"highly";-36,131;12,443;-87,476;112,287
"cinematic";-29,054;-55,993;148,823;-0,798
"hybrid";-36,131;12,443;119,673;-90,97
"sharp";-3,721;23,157;-66,818;25,66
"focus";-3,721;23,157;-66,818;25,66
"illustration";-26,661;24,829;-64,548;52,745
"concept";-26,661;24,829;-64,548;52,745
"win";-17,794;-34,293;243;-44,801
"tim";-17,794;-34,293;243;-44,801
"studio";-17,794;-34,293;243;-44,801
"rhads";-17,794;-34,293;243;-44,801
"render";-17,794;-34,293;243;-44,801
"photograph";-17,794;-34,293;243;-44,801
"pennington";-17,794;-34,293;243;-44,801
"octane";-17,794;-34,293;243;-44,801
"masterpiece";-17,794;-34,293;243;-44,801
"hildebrandt";-17,794;-34,293;243;-44,801
"ghibli";-17,794;-34,293;243;-44,801
"composition";-17,794;-34,293;243;-44,801
"bruce";-17,794;-34,293;243;-44,801
"beautiful";-17,794;-34,293;243;-44,801
"award";-17,794;-34,293;243;-44,801
"rutkowski";-22,735;33,518;-55,043;31,216
"greg";-22,735;33,518;-55,043;31,216
"artgerm";-22,735;33,518;-55,043;31,216
"shirt";-19,232;44,574;16,689;-48,423
"blue";-19,232;44,574;16,689;-48,423
"communism";-18,505;-28,397;233,667;-46,59
"armor";-18,505;-28,397;233,667;-46,59
"propaganda";-11,226;172,943;-27,178;-21,453
"poster";-11,226;172,943;-27,178;-21,453
"suit";-12,656;-17,944;155,731;-31,864
"digital";-12,075;-23,27;-29,233;158,56
"smooth";-10,134;-19,53;-24,535;133,077
"villeneuve";-8,327;142,86;-20,161;-20,966
"style";-8,327;142,86;-20,161;-20,966
"room";-8,327;142,86;-20,161;-20,966
"open";-8,327;142,86;-20,161;-20,966
"magali";-8,327;142,86;-20,161;-20,966
"american";-8,327;142,86;-20,161;-20,966
"light";2,808;-15,097;-18,966;44,736
"europa";-3,381;-6,516;46,17;-8,512
"commission";-3,381;-6,516;46,17;-8,512
"mucha";-5,727;-11,037;-13,865;75,205
"alphonse";-5,727;-11,037;-13,865;75,205
"symmetrical";-5,283;-10,181;-12,789;69,37
"surprise";-5,283;-10,181;-12,789;69,37
"realistic";-5,283;-10,181;-12,789;69,37
"quality";174,656;-10,181;-12,789;-13,3
"high";174,656;-10,181;-12,789;-13,3
"guard";-5,283;-10,181;-12,789;69,37
"discover";-5,283;-10,181;-12,789;69,37
"budapest";-5,283;-10,181;-12,789;69,37
"border";-5,283;-10,181;-12,789;69,37
"army";-5,283;-10,181;-12,789;69,37
"unreal";-3,79;-7,304;-9,176;49,772
"portrait";40,987;-3,862;-4,851;-0,819
"white";111,78;-6,516;-8,185;-8,512
"tree";-3,381;-6,516;-8,185;44,397
"suite";-3,381;-6,516;46,17;-8,512
"street";-3,381;-6,516;-8,185;44,397
"simplistic";111,78;-6,516;-8,185;-8,512
"professionally";111,78;-6,516;-8,185;-8,512
"political";111,78;-6,516;-8,185;-8,512
"nose";-3,381;58,001;-8,185;-8,512
"maxence";-3,381;-6,516;-8,185;44,397
"mapporn";111,78;-6,516;-8,185;-8,512
"map";111,78;-6,516;-8,185;-8,512
"magazine";19,07;-6,516;-8,185;3,507
"goddess";-3,381;-6,516;-8,185;44,397
"fight";-3,381;-6,516;-8,185;44,397
"face";111,78;-6,516;-8,185;-8,512
"era";-3,381;-6,516;46,17;-8,512
"engine";-3,381;-6,516;-8,185;44,397
"edgar";-3,381;-6,516;-8,185;44,397
"big";-3,381;58,001;-8,185;-8,512
"background";111,78;-6,516;-8,185;-8,512
"time";-1,625;-3,133;-3,935;21,345
"tank";-1,625;-3,133;-3,935;21,345
"steve";53,74;-3,133;-3,935;-4,092
"steal";53,74;-3,133;-3,935;-4,092
"star";53,74;-3,133;-3,935;-4,092
"press";53,74;-3,133;-3,935;-4,092
"potter";53,74;-3,133;-3,935;-4,092
"photo";53,74;-3,133;-3,935;-4,092
"parliament";53,74;-3,133;-3,935;-4,092
"nikon";53,74;-3,133;-3,935;-4,092
"natural";53,74;-3,133;-3,935;-4,092
"money";53,74;-3,133;-3,935;-4,092
"michelangelo";53,74;-3,133;-3,935;-4,092
"merkel";53,74;-3,133;-3,935;-4,092
"mccurry";53,74;-3,133;-3,935;-4,092
"macron";53,74;-3,133;-3,935;-4,092
"lazar";53,74;-3,133;-3,935;-4,092
"invade";-1,625;-3,133;-3,935;21,345
"impasto";-1,625;27,885;-3,935;-4,092
"harry";53,74;-3,133;-3,935;-4,092
"emmanuel";53,74;-3,133;-3,935;-4,092
"david";53,74;-3,133;-3,935;-4,092
"creation";53,74;-3,133;-3,935;-4,092
"cover";-1,625;-3,133;-3,935;21,345
"closeup";53,74;-3,133;-3,935;-4,092
"canon";53,74;-3,133;-3,935;-4,092
"angela";53,74;-3,133;-3,935;-4,092
"evil";-0,528;9,063;-1,279;-1,33
"on";-2,111;0,745;65,676;-59,798
"and";-36,626;-0,282;47,46;-2,766
"of";35,538;22,2;-121,673;3,624
"the";51,097;-30,607;-84,622;77,828
"by";-3,721;23,157;-66,818;25,66
"2";-5,283;-10,181;-12,789;69,37
"with";-16,088;58,898;-0,339;-12,652
"in";-8,327;142,86;-20,161;-20,966
"0";-7,35;0;-17,794;39,598
"a";111,78;-6,516;-8,185;-8,512
"5";-3,79;-7,304;-9,176;49,772
"to";-5,283;-10,181;-12,789;69,37
"behind";-3,381;-6,516;-8,185;44,397
"r";111,78;-6,516;-8,185;-8,512
"make";111,78;-6,516;-8,185;-8,512
"k";-3,381;-6,516;-8,185;44,397
"from";53,74;-3,133;-3,935;-4,092
"an";-1,625;27,885;-3,935;-4,092
"8";-3,381;-6,516;-8,185;44,397
"3";-1,625;27,885;-3,935;-4,092
"1";-1,625;27,885;-3,935;-4,092
"instead";53,74;-3,133;-3,935;-4,092
"for";-1,625;-3,133;-3,935;21,345
"9";-1,625;27,885;-3,935;-4,092
"*var_1";0;0;0;0
