european;36;61;72;74
union;27;61;72;74
eu;0;40;72;0
flag;0;49;54;18
game;0;40;72;0
paint;9;49;72;63
detail;9;40;72;72
keyboard;0;40;72;0
art;0;40;0;65
artstation;0;40;72;56
mouse;0;40;72;0
computer;0;40;72;0
lead;0;40;72;0
oil;0;49;72;9
ussr;0;2;72;0
trend;18;40;72;0
sit;0;40;72;0
influencer;0;40;72;0
gloom;0;40;72;0
extremely;0;40;72;0
dark;0;40;72;0
chair;0;40;72;0
play;0;38;72;0
highly;0;40;0;72
cinematic;0;0;72;27
hybrid;0;40;72;0
sharp;9;40;0;47
focus;9;40;0;47
illustration;0;40;0;54
concept;0;40;0;54
win;0;0;72;0
tim;0;0;72;0
studio;0;0;72;0
rhads;0;0;72;0
render;0;0;72;0
photograph;0;0;72;0
pennington;0;0;72;0
octane;0;0;72;0
masterpiece;0;0;72;0
hildebrandt;0;0;72;0
ghibli;0;0;72;0
composition;0;0;72;0
bruce;0;0;72;0
beautiful;0;0;72;0
award;0;0;72;0
rutkowski;0;40;0;45
greg;0;40;0;45
artgerm;0;40;0;45
shirt;0;40;36;0
blue;0;40;36;0
communism;0;2;72;0
armor;0;2;72;0
propaganda;0;49;0;2
poster;0;49;0;2
suit;0;2;54;0
digital;0;0;0;54
smooth;0;0;0;47
villeneuve;0;40;0;0
style;0;40;0;0
room;0;40;0;0
open;0;40;0;0
magali;0;40;0;0
american;0;40;0;0
light;9;0;0;29
europa;0;0;18;0
commission;0;0;18;0
mucha;0;0;0;29
alphonse;0;0;0;29
symmetrical;0;0;0;27
surprise;0;0;0;27
realistic;0;0;0;27
quality;27;0;0;0
high;27;0;0;0
guard;0;0;0;27
discover;0;0;0;27
budapest;0;0;0;27
border;0;0;0;27
army;0;0;0;27
unreal;0;0;0;20
portrait;9;0;0;2
white;18;0;0;0
tree;0;0;0;18
suite;0;0;18;0
street;0;0;0;18
simplistic;18;0;0;0
professionally;18;0;0;0
political;18;0;0;0
nose;0;18;0;0
maxence;0;0;0;18
mapporn;18;0;0;0
map;18;0;0;0
magazine;9;0;0;9
goddess;0;0;0;18
fight;0;0;0;18
face;18;0;0;0
era;0;0;18;0
engine;0;0;0;18
edgar;0;0;0;18
big;0;18;0;0
background;18;0;0;0
time;0;0;0;9
tank;0;0;0;9
steve;9;0;0;0
steal;9;0;0;0
star;9;0;0;0
press;9;0;0;0
potter;9;0;0;0
photo;9;0;0;0
parliament;9;0;0;0
nikon;9;0;0;0
natural;9;0;0;0
money;9;0;0;0
michelangelo;9;0;0;0
merkel;9;0;0;0
mccurry;9;0;0;0
macron;9;0;0;0
lazar;9;0;0;0
invade;0;0;0;9
impasto;0;9;0;0
harry;9;0;0;0
emmanuel;9;0;0;0
david;9;0;0;0
creation;9;0;0;0
cover;0;0;0;9
closeup;9;0;0;0
canon;9;0;0;0
angela;9;0;0;0
evil;0;3;0;0